n,G_score,pred,truth
124,1.8358300027522023,COMPOSITE,COMPOSITE
125,1.8358300027522023,COMPOSITE,COMPOSITE
126,1.8358300027522023,COMPOSITE,COMPOSITE
127,0.8302464658882857,COMPOSITE,PRIME
128,1.8358300027522023,COMPOSITE,COMPOSITE
129,1.8358300027522023,COMPOSITE,COMPOSITE
130,1.8358300027522023,COMPOSITE,COMPOSITE
131,0.8708263323303976,COMPOSITE,PRIME
132,1.8358300027522023,COMPOSITE,COMPOSITE
133,1.8358300027522023,COMPOSITE,COMPOSITE
134,1.8358300027522023,COMPOSITE,COMPOSITE
135,1.8358300027522023,COMPOSITE,COMPOSITE
136,1.8358300027522023,COMPOSITE,COMPOSITE
137,0.9282846634283142,COMPOSITE,PRIME
138,1.8358300027522023,COMPOSITE,COMPOSITE
139,0.9465470423179949,COMPOSITE,PRIME
140,1.8358300027522023,COMPOSITE,COMPOSITE
141,1.8358300027522023,COMPOSITE,COMPOSITE
142,1.8358300027522023,COMPOSITE,COMPOSITE
143,1.8358300027522023,COMPOSITE,COMPOSITE
144,1.8358300027522023,COMPOSITE,COMPOSITE
145,1.8358300027522023,COMPOSITE,COMPOSITE
146,1.8358300027522023,COMPOSITE,COMPOSITE
147,1.8358300027522023,COMPOSITE,COMPOSITE
148,1.8358300027522023,COMPOSITE,COMPOSITE
149,1.031484013470229,COMPOSITE,PRIME
150,1.8358300027522023,COMPOSITE,COMPOSITE
151,1.0472512698920022,COMPOSITE,PRIME
152,1.8358300027522023,COMPOSITE,COMPOSITE
153,1.8358300027522023,COMPOSITE,COMPOSITE
154,1.8358300027522023,COMPOSITE,COMPOSITE
155,1.8358300027522023,COMPOSITE,COMPOSITE
156,1.8358300027522023,COMPOSITE,COMPOSITE
157,1.0922645468746195,COMPOSITE,PRIME
158,1.8358300027522023,COMPOSITE,COMPOSITE
159,1.8358300027522023,COMPOSITE,COMPOSITE
160,1.8358300027522023,COMPOSITE,COMPOSITE
161,1.8358300027522023,COMPOSITE,COMPOSITE
162,1.8358300027522023,COMPOSITE,COMPOSITE
163,1.134028200718326,COMPOSITE,PRIME
164,1.8358300027522023,COMPOSITE,COMPOSITE
165,1.8358300027522023,COMPOSITE,COMPOSITE
166,1.8358300027522023,COMPOSITE,COMPOSITE
167,1.1601811374376967,COMPOSITE,PRIME
168,1.8358300027522023,COMPOSITE,COMPOSITE
169,1.8358300027522023,COMPOSITE,COMPOSITE
170,1.8358300027522023,COMPOSITE,COMPOSITE
171,1.8358300027522023,COMPOSITE,COMPOSITE
172,1.8358300027522023,COMPOSITE,COMPOSITE
173,1.1970459029557086,COMPOSITE,PRIME
174,1.8358300027522023,COMPOSITE,COMPOSITE
175,1.8358300027522023,COMPOSITE,COMPOSITE
176,1.8358300027522023,COMPOSITE,COMPOSITE
177,1.8358300027522023,COMPOSITE,COMPOSITE
178,1.8358300027522023,COMPOSITE,COMPOSITE
179,1.2312684436936656,COMPOSITE,PRIME
180,1.8358300027522023,COMPOSITE,COMPOSITE
181,1.2421252024898097,COMPOSITE,PRIME
182,1.8358300027522023,COMPOSITE,COMPOSITE
183,1.8358300027522023,COMPOSITE,COMPOSITE
184,1.8358300027522023,COMPOSITE,COMPOSITE
185,1.8358300027522023,COMPOSITE,COMPOSITE
186,1.8358300027522023,COMPOSITE,COMPOSITE
187,1.8358300027522023,COMPOSITE,COMPOSITE
188,1.8358300027522023,COMPOSITE,COMPOSITE
189,1.8358300027522023,COMPOSITE,COMPOSITE
190,1.8358300027522023,COMPOSITE,COMPOSITE
191,1.2926069229135475,COMPOSITE,PRIME
192,1.8358300027522023,COMPOSITE,COMPOSITE
193,1.3019909333409225,COMPOSITE,PRIME
194,1.8358300027522023,COMPOSITE,COMPOSITE
195,1.8358300027522023,COMPOSITE,COMPOSITE
196,1.8358300027522023,COMPOSITE,COMPOSITE
197,1.3200984363843966,COMPOSITE,PRIME
198,1.8358300027522023,COMPOSITE,COMPOSITE
199,1.32883410908927,COMPOSITE,PRIME
200,1.8358300027522023,COMPOSITE,COMPOSITE
201,1.8358300027522023,COMPOSITE,COMPOSITE
202,1.8358300027522023,COMPOSITE,COMPOSITE
203,1.8358300027522023,COMPOSITE,COMPOSITE
204,1.8358300027522023,COMPOSITE,COMPOSITE
205,1.8358300027522023,COMPOSITE,COMPOSITE
206,1.8358300027522023,COMPOSITE,COMPOSITE
207,1.8358300027522023,COMPOSITE,COMPOSITE
208,1.8358300027522023,COMPOSITE,COMPOSITE
209,1.8358300027522023,COMPOSITE,COMPOSITE
210,1.8358300027522023,COMPOSITE,COMPOSITE
211,1.377152670905077,COMPOSITE,PRIME
212,1.8358300027522023,COMPOSITE,COMPOSITE
213,1.8358300027522023,COMPOSITE,COMPOSITE
214,1.8358300027522023,COMPOSITE,COMPOSITE
215,1.8358300027522023,COMPOSITE,COMPOSITE
216,1.8358300027522023,COMPOSITE,COMPOSITE
217,1.8358300027522023,COMPOSITE,COMPOSITE
218,1.8358300027522023,COMPOSITE,COMPOSITE
