n,k,digits,N,a_base
11,729,7,1492993,892954
11,1667,7,3414017,724214
11,1995,7,4085761,2584362
12,165,6,675841,366167
12,1027,7,4206593,4016317
12,2371,7,9711617,2649623
12,2647,8,10842113,3036347
12,1891,7,7745537,5625103
12,975,7,3993601,3573671
12,3577,8,14651393,12179718
12,963,7,3944449,988734
12,2161,7,8851457,3109333
12,1453,7,5951489,668935
12,3057,8,12521473,11540659
12,2985,8,12226561,8472104
12,1645,7,6737921,885472
12,501,7,2052097,2014653
12,3997,8,16371713,1563563
12,3993,8,16355329,6617416
12,2973,8,12177409,438335
12,417,7,1708033,212716
12,3675,8,15052801,591733
12,3711,8,15200257,5198266
12,633,7,2592769,1613406
12,1465,7,6000641,2671330
12,1755,7,7188481,494022
12,127,6,520193,498337
12,2067,7,8466433,861597
12,3711,8,15200257,8664627
12,1401,7,5738497,3506586
12,2371,7,9711617,4170121
12,2535,8,10383361,5540060
12,3601,8,14749697,12802695
12,2985,8,12226561,8712638
12,121,6,495617,7858
12,141,6,577537,502417
12,2713,8,11112449,3917315
12,1401,7,5738497,3337675
12,561,7,2297857,1760970
12,331,7,1355777,868678
12,1873,7,7671809,2174814
12,3633,8,14880769,12248164
12,3477,8,14241793,10334275
12,163,6,667649,201350
12,901,7,3690497,3417934
12,1605,7,6574081,5417393
12,2685,8,10997761,469070
12,3787,8,15511553,5703911
12,1381,7,5656577,3884919
12,4077,8,16699393,13638438
12,235,6,962561,901059
12,2907,8,11907073,9274637
12,2535,8,10383361,6739586
12,2845,8,11653121,266605
12,4051,8,16592897,16011482
12,3753,8,15372289,10220454
12,235,6,962561,36643
12,3523,8,14430209,10095459
12,1305,7,5345281,5100340
12,3447,8,14118913,2344178
12,1183,7,4845569,2762870
12,3073,8,12587009,8212919
12,2935,8,12021761,10860923
12,847,7,3469313,613054
12,3585,8,14684161,2621926
12,1873,7,7671809,5906487
12,225,6,921601,210962
12,3487,8,14282753,5683354
13,209,7,1712129,1259332
13,2813,8,23044097,4953906
13,5825,8,47718401,23270128
13,8015,8,65658881,36608664
13,1595,8,13066241,6108266
13,933,7,7643137,7588402
13,1625,8,13312001,11465485
13,849,7,6955009,2821561
13,5481,8,44900353,11257471
13,2273,8,18620417,13281890
13,4493,8,36806657,20258893
13,4143,8,33939457,19824740
13,6423,8,52617217,16669741
13,7035,8,57630721,13316217
13,1751,8,14344193,4174730
13,2459,8,20144129,10257991
13,4683,8,38363137,12317831
13,39,6,319489,72508
13,2319,8,18997249,3977889
13,4911,8,40230913,27778733
13,209,7,1712129,478065
13,4821,8,39493633,10101566
13,5165,8,42311681,15501587
13,6885,8,56401921,36319403
13,5643,8,46227457,32155254
13,3305,8,27074561,5477027
13,7139,8,58482689,5215992
13,581,7,4759553,2348859
13,4493,8,36806657,26686305
13,2091,8,17129473,10989322
13,7119,8,58318849,54229021
13,6699,8,54878209,16642188
13,3371,8,27615233,5879058
13,7635,8,62545921,27375676
13,6915,8,56647681,11846106
13,2451,8,20078593,971267
13,2493,8,20422657,17723313
13,2129,8,17440769,15965379
13,3509,8,28745729,9785048
13,7565,8,61972481,9404843
13,5633,8,46145537,41990754
13,1625,8,13312001,6465170
13,3015,8,24698881,21638802
13,4989,8,40869889,9346719
13,1983,8,16244737,5681280
13,7905,8,64757761,36606366
13,6339,8,51929089,35122505
13,2813,8,23044097,22827296
13,1679,8,13754369,5407170
13,1229,8,10067969,3453609
13,6279,8,51437569,44243775
13,6113,8,50077697,18837623
13,599,7,4907009,1475321
13,1953,8,15998977,14178497
13,6515,8,53370881,4307811
13,933,7,7643137,3931803
13,7041,8,57679873,19816692
13,2199,8,18014209,14120801
13,5543,8,45408257,18123009
13,6635,8,54353921,39085848
14,12513,9,205012993,194062093
14,5083,8,83279873,56578923
14,3763,8,61652993,58784321
14,8487,9,139051009,66960656
14,12907,9,211468289,93338557
14,13387,9,219332609,21412064
14,1243,8,20365313,9963225
14,15205,9,249118721,151878878
14,1609,8,26361857,3354616
14,15247,9,249806849,174530877
14,10363,9,169787393,79018774
14,8673,9,142098433,115305491
14,10257,9,168050689,157562785
14,3909,8,64045057,55359701
14,14689,9,240664577,150317920
14,8397,9,137576449,113583392
14,10735,9,175882241,159556819
14,11067,9,181321729,136072305
14,213,7,3489793,1937867
14,5989,8,98123777,75569573
14,405,7,6635521,2538674
14,2025,8,33177601,26883819
14,13405,9,219627521,80425248
14,2277,8,37306369,19247622
14,14839,9,243122177,118657191
14,13789,9,225918977,32018714
14,9,6,147457,54107
14,4795,8,78561281,71482150
14,14793,9,242368513,225504016
14,3663,8,60014593,547036
14,5295,8,86753281,30160285
14,15663,9,256622593,213819899
14,3285,8,53821441,22412019
15,23445,9,768245761,333977871
15,2187,8,71663617,69208479
15,1845,8,60456961,23632085
15,18947,9,620855297,298797643
15,17265,9,565739521,179004711
15,32337,10,1059618817,884700079
15,227,7,7438337,3613389
15,22521,9,737968129,53819205
15,9441,9,309362689,76406603
15,16109,9,527859713,163321695
15,26625,9,872448001,158191631
15,25001,9,819232769,427044870
15,21261,9,696680449,153750832
15,23901,9,783187969,768179481
15,21051,9,689799169,423206773
15,21999,9,720863233,160746666
15,25637,9,840073217,367407748
15,4085,9,133857281,99244376
15,31631,10,1036484609,125100739
15,15761,9,516456449,346034105
15,24161,9,791707649,440526016
15,30569,10,1001684993,121737606
15,18125,9,593920001,237363964
15,11805,9,386826241,21504615
15,24497,9,802717697,233215187
15,5495,9,180060161,102877841
15,7617,9,249593857,58238277
15,24599,9,806060033,447195872
15,25401,9,832339969,296634051
15,2325,8,76185601,3276918
15,11637,9,381321217,323287014
15,2039,8,66813953,52895484
15,27167,9,890208257,847185821
15,28851,9,945389569,598984117
15,27377,9,897089537,394910398
15,24759,9,811302913,512586616
15,12869,9,421691393,349252723
15,24147,9,791248897,300821005
15,9779,9,320438273,123794732
15,9101,9,298221569,205035181
15,19121,9,626556929,46475071
15,9105,9,298352641,99820861
15,24621,9,806780929,62870810
15,28817,9,944275457,653961188
15,16535,9,541818881,147827302
15,9317,9,305299457,149340549
15,5681,9,186155009,51719916
16,35995,10,2358968321,505350915
16,17731,10,1162018817,500575808
16,3765,9,246743041,11664235
16,11487,9,752812033,502978239
16,27921,10,1829830657,1670655041
16,60873,10,3989372929,2489089297
16,2431,9,159318017,23395439
16,2407,9,157745153,71569439
16,53281,10,3491823617,1076557579
16,40381,10,2646409217,1042184572
16,36553,10,2395537409,1741601726
16,9387,9,615186433,514742243
16,48225,10,3160473601,1817006052
16,23967,10,1570701313,456776753
16,4797,9,314376193,117889323
16,60657,10,3975217153,2226101665
16,12877,9,843907073,38580825
16,17415,10,1141309441,613879508
16,24231,10,1588002817,127489304
16,57843,10,3790798849,3120975147
16,27411,10,1796407297,1786041731
16,46377,10,3039363073,550556184
16,21925,10,1436876801,447490980
16,21897,10,1435041793,255363550
16,17863,10,1170669569,226323118
16,11233,9,736165889,378357367
16,22705,10,1487994881,1083651731
16,30303,10,1985937409,254367149
16,63705,10,4174970881,3565894130
16,6073,9,398000129,144321222
16,7267,9,476250113,57472200
16,20283,10,1329266689,647122136
16,8581,9,562364417,413614573
16,38763,10,2540371969,1476122342
17,10689,10,1401028609,642517450
17,73779,10,9670361089,993804138
17,93285,11,12227051521,3303148515
17,122375,11,16039936001,6976304866
17,130293,11,17077764097,8381047622
17,94055,11,12327976961,5782268647
17,80549,11,10557718529,10096292730
17,4841,9,634519553,58443134
17,83811,11,10985275393,4782372599
17,24815,10,3252551681,266732146
17,83261,11,10913185793,1933217381
17,66851,10,8762294273,2983730667
17,115473,11,15135277057,266512627
17,59825,10,7841382401,2410568412
17,62355,10,8172994561,2487941286
17,52809,10,6921781249,2157013104
17,28689,10,3760324609,2649549557
17,125901,11,16502095873,16270248623
17,112253,11,14713225217,7253938326
17,53729,10,7042367489,2371339308
17,102549,11,13441302529,7020666498
17,43731,10,5731909633,960489967
17,74151,10,9719119873,5647947897
17,48351,10,6337462273,4183244068
17,94173,11,12343443457,6000920268
17,63791,10,8361213953,8207225250
17,339,8,44433409,333611
17,109733,11,14382923777,2977218751
17,71631,10,9388818433,8611907308
17,109595,11,14364835841,1286459363
17,38553,10,5053218817,2472111838
17,9629,10,1262092289,862797220
17,110265,11,14452654081,3748059455
17,11375,10,1490944001,1072975150
17,81605,11,10696130561,9256879032
17,116055,11,15211560961,7538365532
17,113445,11,14869463041,14522298148
17,76691,11,10052042753,6796831837
17,5835,9,764805121,318462142
18,100879,11,26444824577,1579487231
18,16677,10,4371775489,2508029747
18,142417,11,37333762049,31290562295
18,200739,11,52622524417,27687150791
18,260695,11,68339630081,54559269414
18,96775,11,25368985601,8188511350
18,149623,11,39222771713,19081087767
18,217149,11,56924307457,18925953113
18,158985,11,41676963841,8217837330
18,212943,11,55821729793,36133823260
18,49147,11,12883591169,6896054433
18,34023,10,8918925313,7579944038
18,102355,11,26831749121,10750128837
18,30699,10,8047558657,3775072478
18,57879,11,15172632577,11270634861
18,172837,11,45308182529,29214387328
18,43639,11,11439702017,5663131336
18,166887,11,43748425729,27087365407
18,60603,11,15886712833,14493397172
18,162619,11,42629595137,32542807940
18,33313,10,8732803073,328067062
18,166405,11,43622072321,28742894766
18,178545,11,46804500481,15781694750
18,42177,11,11056447489,7499675107
18,177483,11,46526103553,30276157584
18,137253,11,35980050433,23792189027
19,298919,12,156719644673,119925226135
19,362625,12,190119936001,138216158068
19,313059,12,164133076993,140378336762
19,262187,12,137461497857,36233437667
19,186641,11,97853636609,57205686523
19,209747,12,109967835137,18760484206
19,241749,12,126746099713,35423754176
19,247977,12,130011365377,115278932807
19,264759,12,138809966593,82969284441
19,274425,12,143877734401,6742965552
19,196995,12,103282114561,79349892307
19,312845,12,164020879361,86080700062
19,304179,12,159477399553,62400888568
19,290591,12,152353374209,142276459494
19,245979,12,128963837953,125654109471
19,457365,12,239790981121,42230152666
19,186449,11,97752973313,69806538953
19,136205,11,71410647041,32445622844
19,96977,11,50843877377,42734680809
19,176679,11,92630679553,85957388446
19,346667,12,181753348097,164308255268
19,175839,11,92190277633,78788395534
19,225381,12,118164553729,113480105214
19,415709,12,217951240193,119285888010
19,307491,12,161213841409,98944895204
19,467147,12,244919566337,102801837961
19,453569,12,237800783873,171975605979
19,388185,12,203520737281,65141253380
20,196237,12,205769408513,28897817279
20,557011,12,584068366337,308280745368
20,924585,12,969497640961,474634212614
20,215845,12,226329886721,4864433058
20,479413,12,502700965889,461532185417
20,142591,12,149517500417,42403885535
20,789193,12,827528839169,180053133708
20,236377,12,247859249153,51418469459
20,44121,11,46264221697,10162258946
20,1036587,13,1086940250113,818488672012
20,58657,11,61506322433,10484397695
20,566497,12,594015158273,378577531389
20,436327,12,457522020353,21503826284
20,759711,12,796614721537,330254843129
20,1029081,13,1079069638657,873660007807
20,115927,12,121558269953,26069055091
20,544711,12,571170881537,393449290161
20,832815,12,873269821441,750431699099
20,826155,12,866286305281,247813297440
20,765381,12,802560147457,797949243426
20,1031605,13,1081716244481,756434510254
20,95497,12,100135862273,40786857758
20,385371,12,404090781697,238882527211
20,905275,12,949249638401,573876949874
20,736323,12,772090626049,662952986699
20,643551,12,674812133377,54798959729
21,1118849,13,2346396418049,1069442160357
21,344513,12,722496126977,604479616835
21,1288163,13,2701473611777,2408094852128
21,769563,13,1613890584577,1143486905111
21,838395,13,1758241751041,835279198234
21,1766895,13,3705447383041,208247469934
21,715011,13,1499486748673,925640740900
21,1127463,13,2364461285377,1959968782596
21,306885,12,643584491521,277196472124
21,1207193,13,2531667214337,1719669549870
21,1931093,13,4049795547137,3457844138651
21,643685,13,1349905285121,990625941069
21,1479525,13,3102788812801,587299470088
21,1201961,13,2520694915073,586169153296
21,441275,12,925420748801,576419490599
21,117575,12,246572646401,232711712320
21,1637825,13,3434767974401,477338331251
21,1378379,13,2890670276609,62848717523
21,1803921,13,3783096532993,2540341556461
21,1352691,13,2836798636033,805362799510
21,969161,13,2032477929473,487143159081
21,1782999,13,3739219918849,2628592159189
21,830963,13,1742655717377,47247390999
21,784401,13,1645008125953,837838230242
21,696665,13,1461012398081,614833935451
21,1587749,13,3329750990849,1157447909606
21,671279,13,1407774097409,1228952309395
21,728723,13,1528242896897,1396724605113
21,1918763,13,4023937662977,1823413270862
21,541313,13,1135215640577,1120883655493
22,331879,13,1392001417217,243538633725
22,1188429,13,4984632508417,3404662912667
22,2336755,13,9801060843521,8222119051404
22,917205,13,3847036600321,3803873201878
22,3359049,14,14088872656897,7969559623675
22,1184329,13,4967435862017,1620036600956
22,3657037,14,15338724917249,990778400445
22,575845,13,2415268986881,1734955858211
22,876357,13,3675707670529,880415911687
22,2664795,14,11176960327681,10733341142161
22,724563,13,3039037489153,1264836079646
22,3279387,14,13754746011649,8165054732476
22,4098043,14,17188438147073,11160214598647
22,4003119,14,16790298034177,11093350028244
22,671643,13,2817074921473,1598227464335
22,2743567,14,11507354042369,6359303209873
22,725353,13,3042350989313,1298714372314
22,2097579,13,8797883990017,826767255240
22,3543573,14,14862822408193,4244208903546
22,4039275,14,16941947289601,1729468166595
22,2122045,13,8900501831681,8645620243069
22,2018377,13,8465686724609,2748644272442
22,124905,12,523889541121,101458095806
22,3529707,14,14804664188929,10237876919836
22,3556387,14,14916568219649,5356453604520
22,1178533,13,4943125676033,4275225678977
