n,k,digits,a_base,N
100,165,33,142319261706751564351900477899681,209162349037657851246956028887041
250,5557,80,5265830172549707361254338966742337977464863091002437782540684035233744041656807,10054009998308845280762249432707479749072207887296322099488528036437082209517569
332,463,103,1813898316735580758952332516502987522627388727429456708218625940217810078125920916261977401280424576975,4050788342298138083937874124621834768634069786014229432260527163071232954517244209809946403846695682049
